2020-2021 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Precious Achiuwa,Mia,F,21.28,3,16.9,35.3,22.3,11.8,8,0.375,19,0.684,0,0,0.684,0.644,9.7,3.3,12.1,0.7,7.1,0.33,0.33,1,8,115.4,97.5
,Steven Adams,Nor,C,27.45,4,29.3,60.9,10.6,20.9,4,0.25,21,0.762,0,0,0.762,0.725,8.3,8.5,16.3,2,11,1.5,1.25,1.5,7.4,124,100.1
,Bam Adebayo,Mia,C-F,23.45,3,29.3,61,26.8,28.2,14,0.857,32,0.656,0,0,0.656,0.708,18,7,14.6,3.3,19.8,1,1,5,11.5,110.8,105
,LaMarcus Aldridge,San,C-F,35.45,3,25.9,54,23,9.2,3,0.667,27,0.519,11,0.182,0.447,0.458,12,4.3,8.3,2,10.8,0,1.33,1.33,6.3,81.8,104.5
,Grayson Allen,Mem,G,25.23,3,26.8,55.8,12.4,8.3,9,0.889,3,0.333,15,0.2,0.306,0.433,6.3,3.3,6.3,2.7,12.3,0.33,0.33,0.67,6,100.9,107
,Jarrett Allen,Bro,C,22.69,4,22.2,46.3,14.5,22.8,22,0.773,14,0.571,0,0,0.571,0.697,8.3,11.8,26.2,1.3,7.9,0.25,1.75,1.75,9.1,131.2,92
,Kyle Anderson,Mem,F-G,27.28,3,34,70.8,20.5,11.9,10,0.8,23,0.565,17,0.412,0.588,0.619,18.3,10.3,15.3,2,8.9,0,0.67,2,9,114.7,99.5
,Giannis Antetokounmpo,Mil,F,26.07,4,29.8,62.1,33,14.6,41,0.585,46,0.543,18,0.222,0.484,0.524,21.5,11.3,20.3,4.3,19.4,1.5,0.5,3.5,13.8,100.4,97.9
,Kostas Antetokounmpo,Lal,F,23.11,1,7.7,16,21.8,50,0,0,2,0,0,0,0,0,0,4,28.9,0,0,0,2,2,3.2,40.7,92.3
,Thanasis Antetokounmpo,Mil,F,28.45,3,11.6,24.1,11.8,50,0,0,3,1,2,0.5,0.9,0.9,3,2.3,10.8,1.7,16.7,0.33,0,1.67,8,111,103.9
