RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.61,54,26.9,56.1,17.4,13.9,168,0.607,419,0.594,3,0.333,0.594,0.608,11.2,9.4,19.3,2.5,13.9,0.81,1.13,1.48,9.5,124,102.2
,Bam Adebayo,Mia,C-F,22.62,59,34.4,71.7,20.5,17.3,318,0.689,632,0.581,13,0.077,0.571,0.609,16.2,10.5,17.1,5.1,23.3,1.25,1.24,2.78,11.1,118.3,102.3
,LaMarcus Aldridge,San,F-C,34.61,52,33,68.8,23.3,7.9,187,0.829,618,0.519,153,0.392,0.533,0.572,18.8,7.5,12.1,2.4,11.5,0.63,1.6,1.4,8.4,115.4,108.7
,Nickeil Alexander-Walker,Nor,G,21.49,41,12.2,25.4,22.9,14.3,28,0.607,110,0.336,117,0.342,0.427,0.441,5.1,2,8.4,1.8,20.4,0.27,0.17,0.98,8.6,90.7,106.7
,Grayson Allen,Mem,G,24.39,30,16.6,34.6,17.9,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7,1.4,11.8,0.23,0.03,0.77,6.8,110.6,110.1
,Jarrett Allen,Bro,C,21.86,58,26.1,54.4,14.9,11.9,219,0.621,373,0.654,5,0,0.646,0.658,10.8,9.6,18.8,1.4,8.3,0.6,1.43,1.1,8.1,129.5,99.4
,Kadeem Allen,Nyk,G,27.12,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4.1,2.1,27.4,0.5,0.2,0.8,7.2,105.5,111.6
,Al-Farouq Aminu,Orl,F,29.44,18,21.1,44,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.3,1.2,7.5,1,0.44,0.94,5.6,87.8,102.7
,Justin Anderson,Bro,F-G,26.28,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50.2,101.6
,Kyle Anderson,Mem,F-G,26.44,53,18.6,38.8,13.3,14.3,58,0.655,196,0.561,48,0.229,0.518,0.54,5.5,4.3,12.2,2.2,15.5,0.81,0.49,0.85,8,111.3,105.7
,Ryan Anderson,Hou,F,31.81,2,7,14.6,23.6,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,26.2,1,19.9,0.5,0,0.5,11.8,78.5,94.1
,Giannis Antetokounmpo,Mil,F,25.23,53,30.8,64.2,37.5,13.3,540,0.622,800,0.626,249,0.317,0.591,0.612,29.7,13.7,21.9,5.8,33.8,1.06,1.08,3.72,17.3,116.5,89.2
,Kostas Antetokounmpo,Lal,F,22.28,3,1.7,3.5,0,,0,0,0,0,0,0,,,0,0.3,10.7,0.3,21.9,0,0,0,0,,
,Thanasis Antetokounmpo,Mil,F,27.62,16,4.4,9.1,23,15.4,9,0.444,25,0.64,4,0,0.552,0.546,2.3,0.8,8.5,0.4,12.5,0.25,0.06,0.38,8.2,104.2,90.9
,Carmelo Anthony,Por,F,35.75,44,32.7,68.2,21.8,10.3,120,0.85,433,0.446,178,0.36,0.473,0.512,15.5,6.4,10.2,1.5,6.5,0.82,0.48,1.73,6.5,101.4,108.3
,OG Anunoby,Tor,F,22.62,58,29.5,61.4,14.6,12.2,75,0.68,283,0.587,196,0.367,0.572,0.585,10.3,5.4,9.6,1.6,7.7,1.29,0.69,1.22,6.1,111.1,100
,Ryan Arcidiacono,Chi,G,25.93,55,15.8,32.8,12.5,13.7,34,0.735,74,0.419,131,0.382,0.517,0.539,4.3,1.8,6.3,1.6,14.4,0.44,0.05,0.64,5.9,109.1,104.7
,Trevor Ariza,Sac,F,34.67,32,24.7,51.5,11.3,13.7,27,0.778,43,0.488,122,0.352,0.518,0.543,6,4.6,10.4,1.6,8.5,1.09,0.25,0.88,5.7,107.3,105.1
,Trevor Ariza,Por,F,34.67,15,32.8,68.4,11.8,13.2,24,0.875,58,0.603,50,0.4,0.602,0.637,10.1,4.7,7.5,1.8,7.3,1.73,0.33,1.2,5.4,119.9,109.9
,D.J. Augustin,Orl,G,32.3,43,25.1,52.3,18.7,12.7,134,0.881,198,0.424,150,0.34,0.461,0.539,10.2,2.3,4.9,4.5,26.2,0.65,0.02,1.37,7.5,112.8,109.4
,Deandre Ayton,Pho,C,21.6,28,33,68.8,24.2,11.6,69,0.768,432,0.56,3,0,0.556,0.577,19.2,12,20.3,2,10.4,0.68,1.64,2.18,9.4,111.7,102.6
,Dwayne Bacon,Cha,G-F,24.5,39,17.6,36.7,19.4,12.2,53,0.66,177,0.373,67,0.284,0.387,0.419,5.7,2.6,8,1.3,11.7,0.59,0.05,0.95,6.1,86.1,107.8
,Marvin Bagley III,Sac,F,20.96,13,25.7,53.5,25.9,9.1,31,0.806,145,0.51,22,0.182,0.479,0.512,14.2,7.5,16.3,0.8,5,0.46,0.92,1.38,6.8,101.9,99.9
,Lonzo Ball,Nor,G,22.34,51,32.1,66.8,18.3,20.4,56,0.571,237,0.439,320,0.366,0.502,0.508,11.6,6.1,9.9,6.9,28.8,1.37,0.49,2.92,9.8,103,108.4
,Mo Bamba,Orl,C,21.8,54,14.9,30.9,17,13.1,39,0.692,162,0.543,94,0.351,0.537,0.553,5.6,5.1,18.1,0.7,6.8,0.37,1.5,0.76,7.3,109.2,95.6
,J.J. Barea,Dal,G,35.67,21,15.5,32.3,25.8,15.8,16,1,94,0.447,64,0.438,0.532,0.557,8.8,2.1,7.1,3.8,37.6,0.19,0.1,1.48,10.6,113.4,110.6
,Harrison Barnes,Sac,F,27.75,59,34.8,72.6,17.7,9,230,0.804,434,0.507,226,0.372,0.524,0.576,14.9,4.7,7.6,2.3,9.7,0.58,0.15,1.27,6.3,115.3,113.1
,RJ Barrett,Nyk,F-G,19.71,49,30.4,63.3,23.7,12.6,217,0.604,464,0.418,166,0.307,0.429,0.463,13.7,5.1,8.9,2.4,12.3,0.88,0.33,2.14,7.3,92.4,108.9
,Will Barton,Den,G,29.15,52,33,68.7,19.9,9.9,124,0.766,413,0.479,242,0.388,0.518,0.545,14.9,6.4,10.7,3.8,16.6,1.08,0.5,1.5,8.6,112.4,106.1
,Keita Bates-Diop,Min,F,24.1,37,17.5,36.4,15.8,5.6,65,0.708,112,0.5,94,0.33,0.498,0.535,6.8,3,9,0.8,6.7,0.46,0.54,0.38,5.8,111.3,111
,Keita Bates-Diop,Den,F,24.1,2,9.4,19.6,8.7,0,4,0.75,2,1,0,0,1,0.931,3.5,1,5.9,0,0,0,0.5,0,0,192.6,104.5
,Nicolas Batum,Cha,G-F,31.21,22,23,47.8,9.3,20.5,10,0.9,32,0.438,49,0.286,0.432,0.463,3.6,4.5,10.6,3,18.1,0.77,0.36,1,6.3,105.4,106.5
,Aron Baynes,Pho,C-F,33.22,38,21.6,45,20.5,10.6,65,0.723,190,0.6,135,0.326,0.554,0.576,10.7,5.6,14.3,1.7,11.9,0.18,0.53,1.11,8.6,112.8,98.3
,Kent Bazemore,Por,G-F,30.66,43,25.8,53.8,15.9,14.4,72,0.806,155,0.368,171,0.327,0.433,0.475,7.9,4,8,1.4,7.2,1.05,0.72,1.4,5.5,91.8,105.6
,Kent Bazemore,Sac,G-F,30.66,16,22.1,45.9,21.2,9.9,55,0.691,85,0.424,45,0.4,0.485,0.532,10.3,4.6,11.6,1,6.7,1.25,0.44,1.06,6.5,103.6,98.1
,Darius Bazley,Okc,F-G,19.71,53,17.2,35.7,14.1,13.8,47,0.681,130,0.446,100,0.3,0.448,0.475,4.5,3.7,11.9,0.5,4.3,0.38,0.66,0.75,4.7,90.2,105.8
,Bradley Beal,Was,G,26.67,51,35.9,74.7,34.2,11.6,409,0.844,735,0.529,421,0.335,0.519,0.579,30.3,4.4,6.6,6,28.5,1.16,0.37,3.43,10.3,112.9,114.3
,Malik Beasley,Den,G,23.26,41,18.2,37.9,20.6,10.2,38,0.868,140,0.421,161,0.36,0.485,0.511,7.9,1.9,5.7,1.2,9.1,0.76,0.15,0.88,5.8,99.8,106.9
,Malik Beasley,Min,G,23.26,8,33.8,70.4,24.3,7.5,19,0.737,63,0.492,76,0.408,0.558,0.573,21.1,5.8,8.9,2.3,11.1,0.75,0.25,1.5,7.8,110.1,108.7
,Marco Belinelli,San,G,33.93,49,15.2,31.7,16.9,5.2,41,0.78,112,0.411,146,0.363,0.486,0.513,5.8,1.8,6.2,1.3,11.5,0.2,0.02,0.31,6.3,107.3,113
,Jordan Bell,Min,F,25.14,27,8.7,18.1,15.9,19.8,29,0.586,51,0.588,9,0.222,0.55,0.57,3.1,2.9,17.7,0.5,8.6,0.07,0.37,0.67,7.6,107.7,108.2
,Jordan Bell,Mem,F,25.14,2,10.7,22.3,21.1,27.6,2,1,4,0.25,3,0.667,0.571,0.635,5,1.5,7.4,1,12.5,0.5,0,1.5,7.3,102.9,107.8
,DeAndre' Bembry,Atl,G-F,25.66,43,21.3,44.4,14,19.4,48,0.542,163,0.546,65,0.231,0.489,0.5,5.8,3.5,8.9,1.9,12.3,1.28,0.44,1.4,6.3,94.6,107.9
,Dragan Bender,Mil,F,22.28,7,13,27,12.4,18.3,3,0.667,12,0.5,9,0.444,0.571,0.582,3.7,2.9,10.9,1.3,12.4,0,0.71,0.71,7.4,105.1,87.2
,Dragan Bender,Gol,F,22.28,3,22.3,46.5,15.8,24.1,2,0,7,0.286,11,0.182,0.278,0.265,3.3,4.7,11.3,1.7,10.2,1,0.33,2,5.3,59.4,103.5
,Davis Bertans,Was,F,27.29,48,29.4,61.3,18.4,7.8,103,0.864,126,0.476,405,0.415,0.588,0.619,14.9,4.6,8.6,1.8,8.3,0.73,0.65,1.02,6.8,119.7,111.4
,Patrick Beverley,Lac,G,31.63,43,27.6,57.4,13.1,15,38,0.632,117,0.53,184,0.375,0.55,0.559,8.3,5.6,10.5,3.9,18.7,1.16,0.58,1.3,8.2,116.1,97.6
,Khem Birch,Orl,C,27.42,38,20.3,42.4,9.3,13.9,67,0.612,112,0.5,1,0,0.496,0.537,4,4.7,12.4,0.9,6.2,0.42,0.55,0.61,5.1,115.9,102.5
,Goga Bitadze,Ind,C-F,20.61,45,8.7,18,17.5,14.9,31,0.71,88,0.58,30,0.167,0.496,0.528,3.1,2,12.9,0.5,7.4,0.11,0.69,0.51,6.7,100.3,96.4
,Bismack Biyombo,Cha,C,27.5,50,19.2,40.1,17,12.6,144,0.59,263,0.548,0,0,0.548,0.571,7.5,5.8,16.4,0.9,7.7,0.2,0.9,0.94,7.1,114.5,102.9
,Nemanja Bjelica,Sac,F,31.81,59,28.6,59.6,17.5,12.4,66,0.818,288,0.517,276,0.438,0.586,0.603,12.1,6.4,12.6,2.8,14.7,0.85,0.54,1.42,8.4,118,102.6
,Eric Bledsoe,Mil,G,30.22,51,27.2,56.8,24.1,15.3,179,0.827,419,0.537,190,0.353,0.534,0.581,15.7,4.9,8.8,5.5,28.6,0.88,0.49,2.43,11,113.7,97.1
,Bojan Bogdanovic,Uta,F,30.87,58,33.3,69.4,25.5,13,258,0.903,442,0.473,424,0.415,0.546,0.602,20.3,4.1,6.7,2.1,9.8,0.57,0.1,2.53,6.7,110.6,108
,Bogdan Bogdanovic,Sac,G,27.53,48,28.3,58.9,22.6,11.5,93,0.72,241,0.523,341,0.355,0.528,0.547,14.2,3.2,6.4,3.1,17.1,0.96,0.23,1.69,7.4,106,107.8
,Jonah Bolden,Phi,F,24.16,4,3.6,7.4,17.8,34,2,0,2,1,1,0,0.667,0.515,1,0.3,3.8,0,0,0.25,0,0.5,0,,
,Jonah Bolden,Pho,F,24.16,3,10.9,22.8,11.5,0,2,1,5,0.4,3,0,0.25,0.338,2,2.7,13.6,0,0,0.67,0.67,0,0,92.9,92.8
,Marques Bolden,Cle,C,21.87,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,2,39.5,0,0,1,0,0,0,,
,Jordan Bone,Det,G,22.32,10,5.3,11,18.1,9.1,0,0,10,0.3,10,0.2,0.3,0.3,1.2,0.4,4.3,0.8,20.9,0.1,0,0.2,5.5,76.3,106
,Isaac Bonga,Was,G,20.31,53,17.7,36.9,10.3,15.9,58,0.793,121,0.57,49,0.388,0.574,0.616,4.5,3.4,10.4,1.1,7.7,0.64,0.36,0.7,5.8,120.3,105.8
,Devin Booker,Pho,G,23.33,57,36,75,29.5,15.6,404,0.918,713,0.55,313,0.355,0.544,0.618,26.1,4.2,6.4,6.5,29.8,0.72,0.23,3.89,9.9,114.3,107.5
,Chris Boucher,Tor,F-C,27.13,51,13.2,27.5,19.2,6.9,93,0.785,152,0.572,89,0.281,0.517,0.571,6.3,4.4,17.5,0.5,5.1,0.37,1,0.41,7.3,122,92.1
,Brian Bowen II,Ind,F-G,21.41,4,3.5,7.2,15.8,0,0,0,4,0.5,1,0,0.4,0.4,1,0.8,11.9,0,0,0,0.25,0,0,,
,Ky Bowman,Gol,G,22.7,44,22.5,46.9,17.3,17.2,41,0.829,210,0.462,105,0.305,0.46,0.486,7.4,2.6,6.3,3,19.8,1.02,0.23,1.57,6.9,94.8,107.3
,Avery Bradley,Lal,G,29.26,43,23.5,49,15.5,10.5,20,0.8,190,0.521,135,0.363,0.531,0.541,8.4,2.3,5.4,1.2,6.6,0.86,0.09,0.91,4.9,104,101.3
,Tony Bradley,Uta,C-F,22.06,45,10.3,21.5,16.4,12.7,38,0.658,134,0.642,1,1,0.648,0.659,4.4,4.2,22.3,0.3,4.3,0.22,0.4,0.49,6.9,131.4,89.8
,Jarrell Brantley,Uta,F,23.73,3,3.7,7.8,3.9,100,0,0,0,0,0,0,,,0,1.7,24.4,0.3,10.7,0,0.67,0.33,0,,
,Ignas Brazdeikis,Nyk,F,21.14,9,5.9,12.3,20.9,7.6,5,0.8,13,0.385,9,0.111,0.295,0.351,1.9,0.6,5,0.4,10.6,0,0.11,0.22,5.2,81.8,114.9
,Miles Bridges,Cha,F,21.94,59,30.7,64,19.8,10.6,116,0.802,409,0.499,272,0.346,0.507,0.535,13.3,5.5,9.8,1.7,9.3,0.63,0.71,1.47,6.5,104.7,109.2
,Mikal Bridges,Pho,F,23.5,60,26.2,54.6,12.3,12.3,98,0.837,224,0.612,132,0.341,0.574,0.615,8.2,3.9,8.2,1.7,8.8,1.53,0.58,0.93,5.8,118,104.6
,Oshae Brissett,Tor,F-G,21.69,19,7.1,14.8,15,14.8,10,0.8,21,0.476,15,0.2,0.403,0.458,1.9,1.4,10.1,0.4,7,0.21,0.05,0.37,5.8,95.8,95.6
,Ryan Broekhoff,Dal,G-F,29.52,17,10.6,22.1,16.3,8.8,8,0.875,8,0.25,51,0.392,0.542,0.568,4.2,2.5,12.5,0.6,8.3,0.29,0.24,0.35,7,114.6,103.6
,Malcolm Brogdon,Ind,G,27.22,45,30.9,64.4,25.4,13.8,150,0.887,438,0.482,188,0.314,0.478,0.529,16.3,4.8,8.6,7.2,34.7,0.69,0.18,2.47,10.7,109.2,106.8
,Dillon Brooks,Mem,G-F,24.1,59,28.5,59.3,24.6,9.8,158,0.816,510,0.427,318,0.374,0.479,0.514,15.6,3.3,6.1,2.1,10.5,0.9,0.41,1.64,6.7,100.9,103.4
,Charles Brown Jr.,Atl,G,22.07,10,4.1,8.4,24.8,12.4,5,1,10,0.3,9,0.333,0.395,0.472,2,0.4,5.3,0.2,7.2,0.2,0.2,0.3,5.3,93,112.6
,Troy Brown Jr.,Was,G-F,20.59,55,25.2,52.5,17,9.9,102,0.755,335,0.51,131,0.336,0.509,0.539,10,5.3,11.5,2.3,12.6,1.31,0.09,1.02,7.9,110.7,110
,Bruce Brown,Det,G-F,23.54,56,28.1,58.5,16,17,118,0.737,335,0.472,92,0.337,0.479,0.518,8.9,4.7,9.5,3.9,19.8,1.13,0.52,1.75,7.8,105.6,104.6
,Jaylen Brown,Bos,F-G,23.35,48,33.8,70.4,24.6,12,205,0.741,467,0.557,266,0.383,0.563,0.594,20.4,6.4,10.2,2.1,10,1.13,0.31,2.33,7.7,111,101
,Moses Brown,Por,C,20.38,9,3.7,7.6,21.3,18.2,8,0.375,10,0.4,0,0,0.4,0.407,1.2,1.6,22,0.1,4.1,0.11,0.11,0.33,6.2,,
,Sterling Brown,Mil,G-F,25.05,41,14.5,30.2,16.7,13.7,33,0.788,93,0.419,100,0.32,0.451,0.482,4.9,3.7,12.7,1,8.7,0.51,0.15,0.8,7.2,96.5,95.6
,Jalen Brunson,Dal,G,23.49,57,17.9,37.4,20.4,13.6,75,0.813,268,0.515,120,0.358,0.522,0.553,8.2,2.4,6.9,3.3,26.9,0.39,0.07,1.16,9,114.3,108.1
,Thomas Bryant,Was,C-F,22.58,33,24.3,50.6,18.6,12,81,0.716,234,0.641,47,0.362,0.625,0.646,12.4,7.1,15.9,2,12.4,0.33,0.85,1.3,9.2,124.2,109.1
,Reggie Bullock,Nyk,G-F,28.96,25,24.5,51.1,16.2,6,19,0.842,106,0.453,106,0.34,0.481,0.499,8.8,2.3,5,1.4,8.6,1,0.04,0.56,5,105.6,108.6
,Trey Burke,Phi,G,27.29,25,13.1,27.4,19.3,8.2,18,0.722,89,0.483,38,0.421,0.528,0.545,5.9,1.4,5.7,2.1,24.4,0.28,0.04,0.48,7.9,117.4,107.2
,Alec Burks,Gol,G,28.61,48,29,60.3,23.8,9.8,224,0.897,377,0.424,224,0.375,0.476,0.552,16.1,4.7,8.8,3.1,17.6,1.02,0.33,1.58,8.5,110.4,109
,Alec Burks,Phi,G,28.61,6,19.5,40.6,22.9,4.8,9,0.889,33,0.455,22,0.273,0.436,0.475,9.3,2.5,7,1.7,12.9,0.67,0,0.5,7,101.8,103.7
,Deonte Burton,Okc,G-F,26.08,32,8.6,18,19.4,11.5,12,0.5,58,0.483,44,0.205,0.407,0.415,2.8,1.4,9.2,0.3,5.7,0.13,0.31,0.44,4.9,80.8,102.1
,Jimmy Butler,Mia,F,30.46,49,34.4,71.6,25.5,11.7,451,0.838,551,0.497,114,0.246,0.475,0.585,20.6,6.7,11,6.2,28.1,1.71,0.59,2.33,11,122.2,107.2
,Bruno Caboclo,Mem,F,24.44,22,8.7,18.2,16.8,9.1,3,0.667,44,0.545,25,0.16,0.435,0.441,2.8,2,12.1,0.5,7,0.45,0.55,0.32,6.5,96.5,101.9
,Bruno Caboclo,Hou,F,24.44,3,4.7,9.7,17.3,34,2,1,1,1,2,0,0.333,0.515,1.3,1.3,14.9,0,0,0.67,0.67,0.67,0,87.5,99.7
,Kentavious Caldwell-Pope,Lal,G,27.03,57,25.4,52.9,14.9,10.2,91,0.78,216,0.532,203,0.404,0.568,0.596,9.6,2.1,4.6,1.7,8.8,0.88,0.19,0.91,5.1,117,104.5
,Vlatko Cancar,Den,F,22.89,12,3.5,7.4,20.2,15.2,4,1,9,0.556,6,0.167,0.433,0.507,1.4,0.8,13,0.3,9.8,0.08,0.08,0.25,7.9,,
,Clint Capela,Hou,C,25.78,39,32.8,68.3,16,12.7,104,0.529,388,0.629,0,0,0.629,0.626,13.9,13.8,22,1.2,5.6,0.87,1.79,1.62,7.5,123.8,101.4
,DeMarre Carroll,San,F,33.59,15,9,18.8,15.3,20.9,20,0.6,16,0.375,13,0.231,0.362,0.437,2.2,2.1,12.3,0.7,10.2,0.13,0.13,0.67,6.6,88.2,100.8
,DeMarre Carroll,Hou,F,33.59,3,15.4,32.2,16.2,27.5,5,0.4,3,0.667,8,0.25,0.455,0.455,4,3.7,12.4,1.7,14,0.67,0.67,1.67,7.6,84.3,104.7
,Wendell Carter Jr.,Chi,C-F,20.87,37,30,62.4,16.4,14.5,129,0.736,281,0.569,28,0.214,0.547,0.592,11.7,9.9,18.1,1.2,6,0.81,0.89,1.68,6.9,115.7,98.8
