2019-2020 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.63,56,27,56.3,17.4,14.5,173,0.59,430,0.593,3,0.333,0.592,0.604,11,9.4,19.3,2.5,13.8,0.84,1.11,1.54,9.4,122.6,102.2
,Bam Adebayo,Mia,C-F,22.63,62,34.4,71.6,20.6,17.2,326,0.69,669,0.574,13,0.077,0.565,0.603,16.1,10.5,17.2,5,23.1,1.21,1.29,2.77,11,117.4,102.5
,LaMarcus Aldridge,San,F-C,34.63,52,33,68.8,23.4,7.9,187,0.829,618,0.519,153,0.392,0.533,0.572,18.8,7.5,12.2,2.4,11.5,0.63,1.6,1.4,8.4,115.2,108.9
,Nickeil Alexander-Walker,Nor,G,21.51,41,12.2,25.4,22.8,14.3,28,0.607,110,0.336,117,0.342,0.427,0.441,5.1,2,8.4,1.8,20.3,0.27,0.17,0.98,8.6,90.7,107
,Grayson Allen,Mem,G,24.41,30,16.6,34.6,17.9,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7,1.4,11.8,0.23,0.03,0.77,6.8,110.9,109
,Jarrett Allen,Bro,C,21.87,61,26,54.2,15,12.2,227,0.621,394,0.652,5,0,0.644,0.656,10.7,9.6,18.9,1.4,7.9,0.57,1.36,1.13,8.1,128.7,100.1
,Kadeem Allen,Nyk,G,27.13,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4.1,2.1,27.1,0.5,0.2,0.8,7.2,105.7,111.8
,Al-Farouq Aminu,Orl,F,29.45,18,21.1,44,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.4,1.2,7.4,1,0.44,0.94,5.6,87.8,103.2
,Justin Anderson,Bro,F-G,26.29,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50.3,101.9
,Kyle Anderson,Mem,F-G,26.46,56,18.9,39.4,13.5,14.8,60,0.65,211,0.559,56,0.232,0.515,0.535,5.6,4.3,12,2.2,15,0.79,0.48,0.91,7.9,109.5,105.2
