Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Danilo Gallinari,$19500000,$20475000,$21450000,$0,$0,$0,,,,,,,
Bogdan Bogdanovic,$18000000,$18000000,$18000000,$18000000,$0,$0,0.547,18.6,12.8,28.36,13,G,3
Clint Capela,$18000000,$19103448,$20206896,$0,$0,$0,0.6,12.3,0,26.62,7,C,1
Tony Snell,$12178571,$0,$0,$0,$0,$0,,,,,,,
Rajon Rondo,$7500000,$7500000,$0,$0,$0,$0,,,,,,,
De'Andre Hunter,$7422000,$7775400,$9835881,$12973527,$0,$0,0.607,15.7,14.2,23.08,12.3,F-G,3
Trae Young,$6571800,$8326471,$11040900,$0,$0,$0,0.612,34.6,11.5,22.28,34,G,3
Onyeka Okongwu,$5813640,$6104280,$6395160,$8109063,$10817490,$0,,,,,,,
Kris Dunn,$4767000,$5005350,$0,$0,$0,$0,,,,,,,
Cam Reddish,$4458000,$4670160,$5954454,$8109966,$0,$0,0.483,18.1,14,21.33,10.3,F-G,3
John Collins,$4137302,$5899793,$0,$0,$0,$0,0.558,20.8,11.2,23.27,14,F-C,3
Kevin Huerter,$2761920,$4253357,$6065287,$0,$0,$0,0.583,19.2,10.8,22.34,13.7,G-F,3
Solomon Hill,$2174318,$0,$0,$0,$0,$0,0.531,13.9,19.6,29.79,6,F,3
Brandon Goodwin,$1701593,$0,$0,$0,$0,$0,0.375,17.8,9.3,25.24,4,G,2
Bruno Fernando,$1517981,$1782621,$0,$0,$0,$0,0.667,12.1,45,22.38,3.3,F-C,3
Khyri Thomas,$744684,$0,$0,$0,$0,$0,,,,,,,
Nathan Knight,$79568,$0,$0,$0,$0,$0,0.714,37.1,24.6,20,7,F-C,2
Skylar Mays,$79568,$0,$0,$0,$0,$0,0,8.2,0,20,0,G,1
Totals,$117407945,$102996087,$59656896,$18000000,$0,$0,,,,,,,
