Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Kevin Durant,$37199000,$39058950,$40918900,$42778850,$0,$0,,,,,,,
Kyrie Irving,$31742000,$33329100,$34916200,$36503300,$0,$0,0.546,32.6,10.1,27.95,27.4,G,20
Spencer Dinwiddie,$10605600,$11454048,$12302496,$0,$0,$0,0.473,29.2,12.3,26.91,20.5,G,61
DeAndre Jordan,$9881598,$10375678,$9881598,$9821842,$0,$0,0.672,14,18.8,31.62,8.2,C,53
Joe Harris,$7666667,$0,$0,$0,$0,$0,0.57,17.8,11.1,28.49,13.7,G-F,60
Deron Williams,$5474787,$0,$0,$0,$0,$0,,,,,,,
Garrett Temple,$4767000,$5005350,$0,$0,$0,$0,0.485,16.6,9.3,33.83,10.3,G-F,55
Taurean Prince,$3481985,$12250000,$13000000,,,$0,0.484,20.4,14.1,25.95,12.2,F,61
Caris LeVert,$2625717,$16203704,$17500000,$18796296,$0,$0,0.463,29,12.6,25.53,17.2,G,36
Wilson Chandler,$2564753,$0,$0,$0,$0,$0,0.506,13.3,15.1,32.82,6,F,32
Jarrett Allen,$2376840,$3909902,$5661538,$0,$0,$0,0.644,15,12.2,21.87,10.7,C,61
Dzanan Musa,$1911600,$2002800,$3615054,$5429079,$0,$0,0.414,19.4,15.5,20.83,4.2,G-F,35
Rodions Kurucs,$1699236,$1780152,$1861068,$0,$0,$0,0.549,15.1,19.6,22.08,4.2,F,38
David Nwaba,$1678854,$0,$0,$0,$0,$0,0.606,14.2,8.8,27.14,5.2,G-F,20
Theo Pinson,$1445697,$1701593,$0,$0,$0,$0,0.341,22.6,16.6,24.33,3.9,G-F,31
Nicolas Claxton,$898310,$1517981,$1782621,$0,$0,$0,0.573,14.8,13.6,20.88,4.4,F-C,15
Timothe Luwawu,$837583,$1824003,$0,$0,$0,$0,,,,,,,
Iman Shumpert,$419443,$0,$0,$0,$0,$0,0.391,13.4,13,29.69,4.2,G,13
Justin Anderson,$91557,$0,$0,$0,$0,$0,0.167,17,0,26.29,1,F-G,3
Chris Chiozza,$79568,$0,$0,$0,$0,$0,0.563,17.2,19.4,24.29,3.6,G,8
Henry Ellenson,$79568,$0,$0,$0,$0,$0,0.143,19.4,0,23.14,0.4,F-C,5
Jeremiah Martin,$79568,$0,$0,$0,$0,$0,0.25,15.3,0,23.71,1,G,2
Totals,$127606931,$133706318,$130301815,$107900288,$0,$0,,,,,,,
