Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Kevin Love,$31258256,$31258256,$28942830,$0,$0,$0,0.417,21.4,12.9,32.31,9.5,F-C,2
Andre Drummond,$28751774,$0,$0,$0,$0,$0,0.457,31.7,14.5,27.39,19.8,C,4
Larry Nance Jr,$11709091,$10690909,$0,$0,$0,$0,,,,,,,
Dante Exum,$9600000,$0,$0,$0,$0,$0,0.385,12.2,13.3,25.47,3.3,G,3
Cedi Osman,$8840580,$8133334,$7426088,$6718842,$0,$0,0.549,21.9,6.2,25.73,13.3,F,4
Darius Garland,$6720720,$7040880,$8920794,$11828974,$0,$0,0.567,20.9,10.1,20.93,18.5,G,4
Isaac Okoro,$6400920,$6720720,$7040880,$8920794,$11828974,$0,0.5,7.9,28.8,20,5.5,F-G,2
Collin Sexton,$4991880,$6349671,$8559356,$0,$0,$0,0.585,25.4,9.9,21.99,25.3,G,4
JaVale McGee,$4200000,$0,$0,$0,$0,$0,0.685,23.9,18.9,32.95,10.5,C-F,4
Matthew Dellavedova,$2174318,$0,$0,$0,$0,$0,,,,,,,
Dylan Windler,$2137440,$2239200,$4037277,$5959021,$0,$0,,,,,,,
Damyean Dotson,$2000000,$2000000,$0,$0,$0,$0,0.455,10,15.4,26.65,3.3,G,3
Thon Maker,$1737145,$0,$0,$0,$0,$0,1,14.5,50,23.84,2,F-C,1
Kevin Porter,$1717981,$1782621,$3217631,$4826446,$0,$0,,,,,,,
Dean Wade,$1517981,$1782621,$1930681,$0,$0,$0,0.625,15.6,33.3,24.11,3.3,F-C,3
JR Smith,$1456667,$1456667,$0,$0,$0,$0,,,,,,,
Rayjon Tucker,$340000,$0,$0,$0,$0,$0,,,,,,,
Marques Bolden,$79568,$0,$0,$0,$0,$0,,,,,,,
Lamar Stevens,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$125713889,$77672258,$36368918,$6718842,$0,$0,,,,,,,
