Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Kristaps Porzingis,$29467800,$31650600,$33833400,$36016200,$0,$0,,,,,,,
Tim Hardaway Jr,$18975000,$0,$0,$0,$0,$0,,,,,,,
James Johnson,$16047100,$0,$0,$0,$0,$0,0.357,10,9.8,33.86,3,F,3
Dwight Powell,$11080125,$11080125,$11080125,$0,$0,$0,0.813,11.2,27.3,29.45,5.7,F-C,3
Josh Richardson,$10865952,$11615328,$0,$0,$0,$0,0.639,19.9,5,27.29,16.7,G,3
Maxi Kleber,$8325000,$8825000,$9075000,$0,$0,$0,0.5,11.7,6.1,28.92,6.7,F,3
Luka Doncic,$8049360,$10174391,$13348800,$0,$0,$0,0.46,38.5,7.3,21.84,27.7,F-G,3
Willie Cauley-Stein,$4100000,$4100000,$0,$0,$0,$0,0.444,13.4,8.8,27.37,3.7,C,3
Dorian Finney-Smith,$4000000,$4000000,$0,$0,$0,$0,0.521,14.5,3.7,27.66,9.7,F,3
Boban Marjanovic,$3500000,$0,$0,$0,$0,$0,0.625,25.8,10.1,32.37,5,C,2
Trey Burke,$3000000,$3150000,$3300000,$0,$0,$0,0.684,16.7,8.8,28.13,9.7,G,3
Josh Green,$2816760,$2957520,$3098400,$4765339,$6762016,$0,0.5,15.4,17,20,2,G,3
Jose Juan Barea,$2564753,$0,$0,$0,$0,$0,,,,,,,
Wesley Iwundu,$1678854,$1824003,$0,$0,$0,$0,,,,,,,
Jalen Brunson,$1663861,$1802057,$0,$0,$0,$0,0.605,26.6,22.4,24.33,9,G,3
Tyrell Terry,$1289846,$1517981,$1782621,$1930681,$0,$0,0.333,12.9,0,20,1,G,2
Tyler Bey,$79568,$0,$0,$0,$0,$0,,,,,,,
Nate Hinton,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$127583547,$86794948,$59071146,$36016200,$0,$0,,,,,,,
