Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Nikola Jokic,$29542010,$31579390,$33616770,$0,$0,$0,0.661,26.2,25.8,25.86,24.5,C,4
Jamal Murray,$27285000,$29467800,$31650600,$33833400,$36016200,,0.488,23.9,12.3,23.85,17.7,G,3
Gary Harris,$19160714,$20482143,$0,$0,$0,$0,0.5,14,9.9,26.29,9.3,G,4
Will Barton,$13723214,$14669642,$0,$0,$0,$0,0.457,21.7,5.6,29.98,12.3,G,4
Paul Millsap,$10000000,$0,$0,$0,$0,$0,0.7,15.3,12.7,35.89,12,F,4
JaMychal Green,$7199760,$7559748,$0,$0,$0,$0,,,,,,,
Michael Porter,$3550800,$5258735,$7314900,$0,$0,$0,,,,,,,
Facundo Campazzo,$3200000,$3200000,$0,$0,$0,$0,0.3,18.6,39.6,20,2,G,4
Zeke Nnaji,$2379840,$2498760,$2617800,$4306281,$6235495,$0,,,,,,,
RJ Hampton,$2193480,$2303040,$2412840,$4220057,$6169723,$0,,,,,,,
Bol Bol,$2058240,$2161152,$0,$0,$0,$0,0,12,0,21.12,0,C-F,3
PJ Dozier,$1762796,$1910860,$0,$0,$0,$0,0.605,14.3,12.9,24.18,6.3,G-F,4
Monte Morris,$1723707,$8449074,$9125000,$9800926,$0,$0,0.6,17,4.7,25.51,12.8,G,4
Isaiah Hartenstein,$1620564,$1762796,$0,$0,$0,$0,0.471,29.6,19.6,22.66,5,C-F,4
Vlatko Cancar,$1517981,$1782621,$0,$0,$0,$0,,,,,,,
Markus Howard,$79568,$0,$0,$0,$0,$0,0,47.8,0,20,0,G,2
Greg Whittington,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$127077242,$131174901,$74392370,$43634326,$36016200,$0,,,,,,,
