Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Blake Griffin,$36810996,$38957028,$0,$0,$0,$0,0.595,19.5,11.1,31.79,16.3,F,3
Jerami Grant,$19050000,$20002500,$20955000,$0,$0,$0,0.553,22.5,6.2,26.8,22.8,F,4
Delon Wright,$9000000,$8526316,$0,$0,$0,$0,0.589,15.6,14.5,28.68,11.8,G,4
Mason Plumlee,$8000000,$8137500,$8525000,$0,$0,$0,0.609,10.9,21.7,30.82,7.8,F-C,4
Derrick Rose,$7682926,$0,$0,$0,$0,$0,0.402,28.7,15.2,32.24,14.3,G,3
Killian Hayes,$5307120,$5572680,$5837760,$7413955,$9942114,$0,0.328,19.1,25.1,20,5,G,4
Rodney McGruder,$5192307,$5000000,$0,$0,$0,$0,,,,,,,
Josh Jackson,$4767000,$5005350,$0,$0,$0,$0,0.566,26.3,10.6,23.89,17.3,G-F,4
Sekou Doumbouya,$3449400,$3613680,$5539771,$7744600,$0,$0,0.325,21.7,0,20.02,4.3,F,4
Isaiah Stewart,$3121080,$3277080,$3433320,$5266713,$7399731,$0,,,,,,,
Dewayne Dedmon,$2866667,$2866667,$2866667,$2866667,$2866667,$0,,,,,,,
Saddiq Bey,$2689920,$2824320,$2959080,$4556983,$6498258,$0,0.386,20.8,3.9,20,7,F,3
Wayne Ellington,$2564753,$0,$0,$0,$0,$0,0.5,23.2,8.7,33.09,11,G,1
Dzanan Musa,$2002800,$0,$0,$0,$0,$0,,,,,,,
Jahlil Okafor,$1882867,$2130023,$0,$0,$0,$0,0.636,16.1,15.4,25.04,7,C-F,2
Sviatoslav Mykhailiuk,$1663861,$0,$0,$0,$0,$0,,,,,,,
Zhaire Smith,$1068200,$1068200,$1068200,$0,$0,$0,,,,,,,
Deividas Sirvydis,$898310,$1517981,$1782621,$0,$0,$0,,,,,,,
Frank Jackson,$79568,$0,$0,$0,$0,$0,,,,,,,
Saben Lee,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$118177343,$108499325,$35197488,$2866667,$2866667,$0,,,,,,,
