Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Stephen Curry,$43006362,$45780966,$0,$0,$0,$0,0.5,32.7,15.7,32.79,26.5,G,4
Klay Thompson,$35361360,$37980720,$40600080,$43219440,$0,$0,,,,,,,
Andrew Wiggins,$29542010,$31579390,$33616770,$0,$0,$0,0.434,24.4,8.6,25.85,17.8,F,4
Draymond Green,$22246956,$24026712,$25806468,$27586224,$0,$0,,,,,,,
Kelly Oubre,$14375000,$0,$0,$0,$0,$0,,,,,,,
James Wiseman,$8730240,$9166800,$9603360,$12119440,$15815870,$0,0.5,22.3,11.3,19.75,12.5,C,4
Kevon Looney,$4821429,$5178572,$0,$0,$0,$0,0.429,11.7,11,24.9,4,F,4
Kent Bazemore,$2320044,$0,$0,$0,$0,$0,0.25,15.2,33.3,31.5,1,G-F,2
Brad Wanamaker,$2250000,$0,$0,$0,$0,$0,0.417,14.5,11.2,31.43,6.3,G,4
Jordan Poole,$2063280,$2161440,$3901399,$5813084,$0,$0,0.457,18.2,10.8,21.53,6.3,G,4
Marquese Chriss,$1824003,$0,$0,$0,$0,$0,0.393,26.2,11.3,23.5,6.5,F,2
Damion Lee,$1762796,$1910860,$0,$0,$0,$0,0.763,11.9,4.7,28.19,8,G-F,4
Mychal Mulder,$1517981,$1782621,$0,$0,$0,$0,0.607,15.2,5.7,26.55,5,G,4
Eric Paschall,$1517981,$1782621,,$0,$0,$0,0.5,17.4,5.7,24.15,9.5,F,4
Alen Smailagic,$1517981,$1782621,$1930681,$0,$0,$0,,,,,,,
Shaun Livingston,$666666,$666666,$0,$0,$0,$0,,,,,,,
Nico Mannion,$79568,$0,$0,$0,$0,$0,,,,,,,
Juan Toscano-Anderson,$79568,$0,$0,$0,$0,$0,1,6.8,33.7,27.72,3.5,F,4
Totals,$173683225,$157945068,$101953999,$70805664,$0,$0,,,,,,,
