Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
James Harden,$41254920,$44310840,$47366760,$0,$0,$0,0.724,34.2,15.5,31.35,39,G,2
John Wall,$41254920,$44310840,$47366760,$0,$0,$0,,,,,,,
Eric Gordon,$16869267,$18218818,$19568360,$20917902,$0,$0,,,,,,,
Christian Wood,$13015874,$13666667,$14317459,$0,$0,$0,0.595,26.1,6.3,25.26,27,F,2
PJ Tucker,$7969537,$0,$0,$0,$0,$0,0.571,12,21.2,35.66,8,F,2
Danuel House,$3717000,$3894000,$0,$0,$0,$0,,,,,,,
DeMarcus Cousins,$2331593,$0,$0,$0,$0,$0,,,,,,,
Ben McLemore,$2283034,$0,$0,$0,$0,$0,,,,,,,
Bruno Caboclo,$2028594,$2283034,$0,$0,$0,$0,0.3,26.7,28.6,25.27,3,F,2
David Nwaba,$1824003,$0,$0,$0,$0,$0,,,,,,,
Sterling Brown,$1678854,$0,$0,$0,$0,$0,,,,,,,
Chris Clemons,$1517981,$1782621,$0,$0,$0,$0,,,,,,,
Jae'Sean Tate,$1445697,$1517981,$1782621,$0,$0,$0,,,,,,,
KJ Martin,$898310,$1517981,$1782621,$1930681,$0,$0,,,,,,,
Troy Williams,$122741,$122741,$0,$0,$0,$0,,,,,,,
Mason Jones,$79568,$0,$0,$0,$0,$0,,,,,,,
Brodric Thomas,$79568,$0,$0,$0,$0,$0,,,,,,,
Jerian Grant,$50000,$0,$0,$0,$0,$0,,,,,,,
Totals,$138421461,$128324921,$130401960,$22848583,$0,$0,,,,,,,
