Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Victor Oladipo,$21000000,$21000000,$0,$0,$0,$0,0.427,[8],[9],27.83,12,G,10
Malcolm Brogdon,$20000000,$20700000,$21700000,$22600000,$0,$0,0.484,[8],[9],27.23,16.3,G,48
Myles Turner,$18000000,$18000000,$18000000,$18000000,$0,$0,0.52,[8],[9],23.95,11.6,C-F,52
TJ Warren,$10810000,$11750000,$12690000,$0,$0,$0,0.57,[8],[9],26.5,18.7,F,59
Jeremy Lamb,$10500000,$10500000,$10500000,$0,$0,$0,0.506,[8],[9],27.76,12.5,G-F,46
Doug McDermott,$7333333,$7333333,$0,$0,$0,$0,0.611,[8],[9],28.17,10.4,F,62
Justin Holiday,$4767000,$0,$0,$0,$0,$0,0.574,[8],[9],30.92,8.3,F-G,62
Domantas Sabonis,$3529554,$18500000,$18500000,$18500000,$19400000,$0,0.545,[8],[9],23.84,18.2,F-C,59
TJ McConnell,$3500000,$3500000,$0,$0,$0,$0,,,,,,,
Goga Bitadze,$2816760,$2957520,$3098400,$4765339,$6762016,$0,0.5,[8],[9],20.63,3.1,C-F,47
TJ Leaf,$2813280,$4326825,$6139764,$0,$0,$0,0.471,[8],[9],22.85,2.9,F,25
Monta Ellis,$2245400,$2245400,$2245400,$0,$0,$0,,,,,,,
Aaron Holiday,$2239200,$2345640,$3980551,$5791701,$0,$0,0.496,[8],[9],23.43,9.6,G,55
Edmond Sumner,$2000000,$2160000,$2320000,$0,$0,$0,0.466,[8],[9],24.18,4.2,G,22
JaKarr Sampson,$1737145,$0,$0,$0,$0,$0,0.6,[8],[9],26.96,3.9,F,23
Alize Johnson,$1416852,$0,$0,$0,$0,$0,0.467,[8],[9],23.87,1.4,F,13
Brian Bowen,$79568,$0,$0,$0,$0,$0,,,,,,,
Naz Long,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$114867660,$125318718,$83635400,$59100000,$19400000,$0,,,,,,,
