Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Paul George,$35450412,$39344970,$42492568,$45640165,$48787763,$0,0.667,29.1,23.1,30.66,22.3,F,4
Kawhi Leonard,$34379100,$36016200,$0,$0,$0,$0,0.488,33.5,10.3,29.5,23.5,F,2
Marcus Morris,$14883721,$15627907,$16372093,$17116279,$0,$0,,,,,,,
Patrick Beverley,$13333333,$14320987,$0,$0,$0,$0,0.625,15.6,16.3,32.47,8.3,G,4
Serge Ibaka,$9258000,$9720900,$0,$0,$0,$0,0.667,24.8,6.5,31.28,14.8,F,4
Louis Williams,$8000000,$0,$0,$0,$0,$0,0.532,21.4,7.9,34.18,9.8,G,4
Ivica Zubac,$7000000,$7518518,$7518518,$0,$0,$0,0.778,16.7,9.9,23.79,11.3,C,4
Luke Kennard,$5273826,$12727273,$13745455,$14763636,$14763636,$0,0.5,18,17.6,24.52,8.5,G,4
Patrick Patterson,$3077704,$0,$0,$0,$0,$0,0.429,11,20.2,31.8,2.7,F,3
Nicolas Batum,$2564753,$0,$0,$0,$0,$0,0.545,11.5,17.7,32.04,6.8,G-F,4
Reggie Jackson,$2331593,$0,$0,$0,$0,$0,0.479,18.9,7.4,30.71,6,G,4
Mfiondu Kabengele,$2075880,$2174880,$3923483,$5818526,$0,$0,0.214,17.9,20.2,23.38,1.3,F-C,4
Terance Mann,$1517981,$1782621,$1930681,$0,$0,$0,0.313,14.7,11.1,24.2,2.5,G-F,4
Daniel Oturu,$898310,$1517981,$0,$0,$0,$0,0.667,16,14.3,21.28,2.7,C,3
Jay Scrubb,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$140124181,$136794736,$80128634,$77520080,$48787763,$0,,,,,,,
