Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
D'Angelo Russell,$27285000,$28649250,$30013500,$31377750,$0,$0,0.537,29.6,16.7,24.03,23.1,G,9
Karl-Anthony Towns,$27285000,$29467800,$31650600,$33833400,$36016200,$0,0.6,28.8,13.2,24.3,26.5,C-F,35
Evan Turner,$18606556,$0,$0,$0,$0,$0,0.373,16.3,26.2,31.35,3.3,G-F,19
Allen Crabbe,$17818456,$0,$0,$0,$0,$0,0.412,12.5,12.5,27.9,3.2,G-F,9
James Johnson,$15349400,$16047100,$0,$0,$0,$0,0.563,21,20.4,33.04,11.6,F,11
Jarrett Culver,$5813640,$6104280,$6395160,$8109062,$10817489,$0,0.457,19.3,11.7,21.04,9.2,G-F,60
Jake Layman,$3581986,$3761085,$3940184,$0,$0,$0,0.5,17.3,10.5,26,8.8,F,20
Juan Hernangomez,$3321029,$4642799,$0,$0,$0,$0,,,,,,,
Malik Beasley,$2731713,$3895423,$0,$0,$0,$0,0.594,23.3,8.1,23.27,21.4,G,11
Josh Okogie,$2530680,$2651040,$4087904,$5857966,$0,$0,0.479,15.4,15.2,21.51,8.7,G,59
Jacob Evans,$1925880,$2017320,$3641263,$5425481,$0,$0,0,9.6,0,22.71,0,G-F,2
Omari Spellman,$1897800,$1988280,$3588845,$5383267,$0,$0,0.503,18.7,13.6,22.62,7.6,F,49
Jarred Vanderbilt,$1416852,$1663861,$0,$0,$0,$0,0,15.2,0,20.92,1,F,2
Jaylen Nowell,$1400000,$1517981,$1782621,$1930681,$0,$0,0.372,18.2,5.4,20.9,3.8,G,12
Naz Reid,$898310,$1517981,$1782621,$1930681,$0,$0,0.49,23.7,6.2,20.52,8.6,C-F,27
Cole Aldrich,$685340,$685340,$0,$0,$0,$0,,,,,,,
Jordan McLaughlin,$79568,$0,$0,$0,$0,$0,0.566,15.8,13.3,23.9,7.6,G,27
Kelan Martin,$79568,$0,$0,$0,$0,$0,0.461,17.9,9.4,24.59,6.5,F,30
Totals,$132706778,$94407457,$69169526,$65211150,$36016200,$0,,,,,,,
