Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,Age,PTS,Pos,GP
Jrue Holiday,$26131111,$26131111,$27020000,$0,$0,$0,0.504,29.72,19.2,G,50
Derrick Favors,$17650000,$0,$0,$0,$0,$0,0.627,28.63,9.2,F,40
JJ Redick,$13486300,$13013700,$0,$0,$0,$0,0.59,35.68,14.9,G,54
Zion Williamson,$9757440,$10245480,$10733400,$13534817,$17595262,$0,0.593,19.65,23.4,F,14
Lonzo Ball,$8719320,$11003782,$14359935,$0,$0,$0,0.502,22.34,11.6,G,51
E'Twaun Moore,$8664928,$0,$0,$0,$0,$0,0.504,31.01,9.1,G,46
Brandon Ingram,$7265485,$9481458,$0,$0,$0,$0,0.546,22.49,24.8,F,51
Darius Miller,$7250000,$7000000,$0,$0,$0,$0,,,,,
Jaxson Hayes,$4862040,$5105160,$5348280,$6803012,$9170460,$0,0.662,19.77,7.6,C-F,55
Nicolo Melli,$4102564,$3897436,$0,$0,$0,$0,0.598,29.09,6.7,0,47
Nickeil Alexander-Walker,$2964840,$3113160,$3261480,$5009633,$7073602,$0,0.427,21.49,5.1,G,41
Josh Hart,$1934160,$3491159,$5236738,$0,$0,$0,0.545,24.98,10.4,G,52
Jahlil Okafor,$1702486,$0,$0,$0,$0,$0,0.615,24.21,7.6,C-F,28
Frank Jackson,$1618520,$0,$0,$0,$0,$0,0.47,21.82,5.7,G,46
Kenrich Williams,$1416852,$0,$0,$0,$0,$0,0.43,25.24,3.8,G-F,35
Zylan Cheatham,$79568,$0,$0,$0,$0,$0,0.4,24.28,1.3,F,3
Josh Gray,$79568,$0,$0,$0,$0,$0,0.5,26.47,1,G,2
Totals,$117685182,$83000988,$27020000,$0,$0,$0,,,,,
