Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Julius Randle,$18000000,$18900000,$19800000,$0,$0,$0,0.488,[8],[9],25.26,19.4,C-F,60
Bobby Portis,$15000000,$15750000,$0,$0,$0,$0,0.506,[8],[9],25.06,10,F,62
Moe Harkless,$11011234,$0,$0,$0,$0,$0,0.533,[8],[9],26.82,7.3,F-G,8
Taj Gibson,$9000000,$9450000,$0,$0,$0,$0,0.586,[8],[9],34.7,6.1,F,58
Wayne Ellington,$8000000,$8000000,$0,$0,$0,$0,0.506,[8],[9],32.26,5.3,G,32
Elfrid Payton,$8000000,$8000000,$0,$0,$0,$0,0.449,[8],[9],26.03,9.8,G,41
RJ Barrett,$7839960,$8231760,$8623920,$10900634,$14301632,$0,0.443,[8],[9],19.72,14.1,F-G,52
Joakim Noah,$6431666,$6431666,$6431666,$0,$0,$0,,,,,,,
Frank Ntilikina,$4855800,$6176578,$8326027,$0,$0,$0,0.455,[8],[9],21.6,5.9,G,53
Dennis Smith,$4463640,$5686677,$7705447,$0,$0,$0,,,,,,,
Kevin Knox,$4380120,$4588680,$5845978,$7921300,$0,$0,,,,,,,
Reggie Bullock,$4000000,$4200000,$0,$0,$0,$0,0.481,[8],[9],28.97,8.6,G-F,26
Allonzo Trier,$3551100,$0,$0,$0,$0,$0,0.569,[8],[9],24.13,6.5,G,23
Damyean Dotson,$1618520,$0,$0,$0,$0,$0,0.523,[8],[9],25.83,6.7,G,47
Mitchell Robinson,$1559712,$1663861,$1802057,$0,$0,$0,0.73,[8],[9],21.93,9.5,C-F,57
Ignas Brazdeikis,$898310,$1517981,$1782621,$0,$0,$0,0.295,[8],[9],21.15,1.9,F,9
Kadeem Allen,$79568,$0,$0,$0,$0,$0,0.489,[8],[9],27.13,5,G,10
Ivan Rabb,$79568,$0,$0,$0,$0,$0,,,,,,,
Kenny Wooten,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$108848766,$82847203,$26231666,$0,$0,$0,,,,,,,
