Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Nikola Vucevic,$26000000,$24000000,$22000000,$0,$0,$0,0.556,24.4,7.9,30.18,20,C,4
Aaron Gordon,$18136364,$16409091,,$0,$0,$0,0.568,20.3,10.4,25.29,12.8,F,4
Evan Fournier,$17150000,$0,$0,$0,$0,$0,0.619,20.9,14.8,28.17,17.8,G-F,4
Terrence Ross,$13500000,$12500000,$11500000,$0,$0,$0,0.607,25.8,9.9,29.9,21,G-F,4
Markelle Fultz,$12288697,$16500000,$16500000,$17000000,$0,$0,0.454,27.2,10.1,22.59,18.3,G,4
Al-Farouq Aminu,$9720900,$10183800,$0,$0,$0,$0,,,,,,,
Jonathan Isaac,$7362565,$17400000,$17400000,$17400000,$17400000,$0,,,,,,,
Mo Bamba,$5969040,$7568743,$10096703,$0,$0,$0,,,,,,,
Timofey Mozgov,$5573333,$5573333,$0,$0,$0,$0,,,,,,,
Michael Carter-Williams,$3300000,$3300000,$0,$0,$0,$0,0.583,12.2,24.1,29.22,5.5,G,4
James Ennis,$3300000,$0,$0,$0,$0,$0,,,,,,,
Cole Anthony,$3285120,$3449400,$3613680,$5539771,$7744600,$0,0.4,21.5,8,20.62,8.5,G,4
Chuma Okeke,$3121080,$3277080,$3433320,$5266712,$7399731,$0,0.3,8.1,13.7,20,2.3,F,4
Khem Birch,$3000000,$0,$0,$0,$0,$0,0.5,16.2,7.8,28.25,6.8,C,4
Gary Clark,$2000000,$2100000,$0,$0,$0,$0,0,13.6,33.3,26.12,0,F,1
Dwayne Bacon,$1678854,$1824033,$0,$0,$0,$0,0.636,12.8,8,25.33,7.5,G-F,4
Jordan Bone,$79568,$0,$0,$0,$0,$0,,,,,,,
Karim Mane,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$135545089,$124085480,$67400000,$34400000,$17400000,$0,,,,,,,
