Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Tobias Harris,$34358850,$35995950,$37633050,$39270150,$0,$0,0.526,22.5,10.2,28.46,17.3,F,4
Ben Simmons,$30559200,$33003936,$35448672,$37893408,$40338144,$0,0.5,22.1,23.3,24.44,14.3,G-F,4
Joel Embiid,$29542010,$31579390,$33616770,$0,$0,$0,0.537,31.3,11.7,26.79,28.3,C-F,3
Danny Green,$15365853,$0,$0,$0,$0,$0,0.405,12.2,18.6,33.52,4.8,G,4
Seth Curry,$7834449,$8207518,$8496653,$0,$0,$0,0.632,16,13.3,30.35,13.8,G,4
Mike Scott,$5005350,$0,$0,$0,$0,$0,0.5,15.7,12.9,32.46,5.3,F,4
Terrance Ferguson,$3944013,$5683323,$0,$0,$0,$0,0,11.8,0,22.62,0,G,1
Tony Bradley,$3542060,$5277669,$0,$0,$0,$0,0.286,18,0,22.89,4,C-F,1
Matisse Thybulle,$2711280,$2840160,$4379526,$6275861,$0,$0,0,4.5,0,23.82,0,G-F,4
Vincent Poirier,$2619207,$0,$0,$0,$0,$0,,,,,,,
Dwight Howard,$2564753,$0,$0,$0,$0,$0,0.769,17.5,35.8,35.06,5.5,C-F,4
Tyrese Maxey,$2478840,$2602920,$2726880,$4343920,$6259588,$0,0.333,20.4,12.5,20,3.5,G,4
Furkan Korkmaz,$1762796,$0,$0,$0,$0,$0,0.333,23.6,19.4,23.44,6,G-F,3
Shake Milton,$1701593,$1846738,$1997718,$0,$0,$0,0.457,18.7,8.9,24.26,10.5,G-F,4
Isaiah Joe,$898310,$1517981,$1782621,$0,$0,$0,0.5,11.8,0,20,2,G,1
Justin Anderson,$125000,$0,$0,$0,$0,$0,,,,,,,
Dakota Mathias,$79568,$0,$0,$0,$0,$0,,,,,,,
Paul Reed,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$145172700,$117594593,$116977766,$77163558,$40338144,$0,,,,,,,
