Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Damian Lillard,$31626953,$43750000,$47250000,$50750000,$54250000,$0,0.545,28.4,15.2,30.46,24,G,3
CJ McCollum,$29354152,$30864198,$33333333,$35802469,$0,$0,0.542,29.7,2.6,29.28,29,G,3
Jusuf Nurkic,$12888889,$12000000,$0,$0,$0,$0,0.574,18.9,14.1,26.35,11.7,C,3
Robert Covington,$12138345,$12975471,$0,$0,$0,$0,0.289,10.2,8.8,30.04,4.7,F,3
Rodney Hood,$10047450,$10851246,$0,$0,$0,$0,0.364,12.6,15.4,28.19,2.7,G-F,3
Derrick Jones,$9258000,$9720900,$0,$0,$0,$0,,,,,,,
Zach Collins,$5406255,$7363319,$0,$0,$0,$0,,,,,,,
Enes Kanter,$5005350,$0,$0,$0,$0,$0,0.81,15.8,8.4,28.61,12,C,3
Andrew Nicholson,$2844429,$2844429,$2844429,$0,$0,$0,,,,,,,
Carmelo Anthony,$2564753,$0,$0,$0,$0,$0,,,,,,,
Anfernee Simons,$2252040,$3938818,$5758551,$0,$0,$0,,,,,,,
Nassir Little,$2210640,$2316240,$4171548,$6128004,$0,$0,,,,,,,
Anderson Varejao,$1913345,$0,$0,$0,$0,$0,,,,,,,
Gary Trent Jr,$1663861,$0,$0,$0,$0,$0,,,,,,,
Harry Giles,$1620564,$0,$0,$0,$0,$0,,,,,,,
CJ Elleby,$898310,$1517981,$0,$0,$0,$0,0.5,19.5,0,20,2,F-G,1
Keljin Blevins,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$131772904,$119928037,$83427762,$86552469,$54250000,$0,,,,,,,
