Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Harrison Barnes,$24147727,$22215909,$20284091,$18352273,$0,$0,0.522,[8],[9],27.76,14.7,F,61
Kent Bazemore,$19269663,$0,$0,$0,$0,$0,0.469,[8],[9],30.68,10,G-F,18
Cory Joseph,$12000000,$12600000,$12600000,$0,$0,$0,0.489,[8],[9],28.54,6.5,G,61
Marvin Bagley,$8556120,$8963640,$11312114,$14762308,$0,$0,,,,,,,
Bogdan Bogdanovic,$8529386,$0,$0,$0,$0,$0,0.531,[8],[9],27.54,14.4,G,50
Nemanja Bjelica,$6825000,$7150000,$0,$0,$0,$0,0.582,[8],[9],31.82,11.9,F,61
Jabari Parker,$6500000,$6500000,$0,$0,$0,$0,0.167,[8],[9],24.97,4,F,1
De'Aaron Fox,$6392760,$8099627,$10740105,$0,$0,$0,0.512,[8],[9],22.21,20.4,G,42
Buddy Hield,$4861207,$26431817,$24477272,$22522728,$20568183,$0,0.539,[8],[9],26.21,19.9,G,61
Richaun Holmes,$4767000,$5005350,$0,$0,$0,$0,0.658,[8],[9],26.39,13.1,F,37
Alex Len,$4160000,$0,$0,$0,$0,$0,0.6,[8],[9],26.72,6.7,C,6
Yogi Ferrell,$3150000,$0,$0,$0,$0,$0,0.455,[8],[9],26.82,4.3,G,43
Harry Giles,$2578800,$0,$0,$0,$0,$0,,,,,,,
Anthony Tolliver,$2419852,$0,$0,$0,$0,$0,0.545,[8],[9],34.76,7,F,2
Matt Barnes,$2133542,$0,$0,$0,$0,$0,,,,,,,
Justin James,$898310,$1517981,$1782621,$0,$0,$0,0.481,[8],[9],23.11,2.7,G-F,32
DaQuan Jeffries,$898310,$0,$0,$0,$0,$0,0.5,[8],[9],22.51,1.2,G-F,6
Kyle Guy,$79568,$0,$0,$0,$0,$0,0.5,[8],[9],22.57,1,G,2
Eric Mika,$50751,$0,$0,$0,$0,$0,0.667,[8],[9],25.16,6,C,1
Tyler Lydon,$50000,$0,$0,$0,$0,$0,,,,,,,
Tyler Ulis,$50000,$0,$0,$0,$0,$0,,,,,,,
Totals,$118317996,$98484324,$59143984,$40875001,$20568183,$0,,,,,,,
