Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
DeMar DeRozan,$27739975,$27739975,$0,$0,$0,$0,0.532,[8],[9],30.58,22.2,F,58
LaMarcus Aldridge,$26000000,$24000000,$0,$0,$0,$0,0.533,[8],[9],34.63,18.8,F-C,52
Rudy Gay,$14500000,$14500000,$0,$0,$0,$0,0.495,[8],[9],33.55,9.6,F-G,57
Patrick Mills,$12428571,$13285714,$0,$0,$0,$0,0.553,[8],[9],31.56,11.8,G,60
DeMarre Carroll,$6826537,$6119676,$1242340,$0,$0,$0,0.455,[8],[9],33.61,4,F,3
Marco Belinelli,$5846154,$0,$0,$0,$0,$0,0.481,[8],[9],33.95,5.6,G,51
Trey Lyles,$5500000,$5500000,$0,$0,$0,$0,0.532,[8],[9],24.33,6,F,60
Pau Gasol,$5074856,$0,$0,$0,$0,$0,,,,,,,
Jakob Poeltl,$3754885,$5087870,$0,$0,$0,$0,0.619,[8],[9],24.39,5.3,C,58
Bryn Forbes,$2875000,$0,$0,$0,$0,$0,0.541,[8],[9],26.62,11.2,G,60
Lonnie Walker,$2764200,$2895720,$4453617,$6319683,$0,$0,,,,,,,
Luka Samanic,$2689920,$2824320,$2959080,$4556983,$6498258,$0,,,,,,,
Dejounte Murray,$2321735,$14286000,$15428880,$16571120,$17714000,$0,0.518,[8],[9],23.46,10.6,G,56
Keldon Johnson,$1950600,$2048040,$2145720,$3873024,$5809536,$0,0.5,[8],[9],20.4,3.3,F-G,6
Derrick White,$1948080,$3516284,$5274427,$0,$0,$0,0.517,[8],[9],25.67,10.1,G,58
Chimezie Metu,$1416852,$1663861,$0,$0,$0,$0,0.571,[8],[9],22.95,2.9,F-C,16
Drew Eubanks,$79568,$0,$0,$0,$0,$0,0.786,[8],[9],23.09,3.5,F-C,11
Quinndary Weatherspoon,$79568,$0,$0,$0,$0,$0,0,[8],[9],23.48,0,G,1
Totals,$123796501,$116715729,$16671220,$16571120,$17714000,$0,,,,,,,
