Player,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,eFG%,URate,TO%,Age,PTS,Pos,GP
Kyle Lowry,$33296296,$30500000,$0,$0,$0,$0,0.512,23,15.2,33.95,19.4,G,49
Marc Gasol,$25595700,$0,$0,$0,$0,$0,0.532,12.7,14.8,35.1,7.8,C,35
Serge Ibaka,$23271604,$0,$0,$0,$0,$0,0.568,24.4,12.9,30.46,15.9,F,47
Norman Powell,$10116576,$10865952,$11615328,$0,$0,$0,0.587,21.1,10.4,26.78,15.9,G,41
Fred VanVleet,$9346153,$0,$0,$0,$0,$0,0.503,21.9,12.2,26.02,17.6,G,48
Patrick McCaw,$4000000,$4000000,$0,$0,$0,$0,0.497,9.7,14.4,24.36,4.9,G,34
Stanley Johnson,$3623000,$3804150,$0,$0,$0,$0,0.29,18.5,19.2,23.77,1.2,F-G,20
Rondae Hollis-Jefferson,$2500000,$0,$0,$0,$0,$0,0.479,17.3,12.1,25.17,7.5,F,49
Pascal Siakam,$2351838,$29000000,$31320000,$33640000,$35960000,$38280000,0.519,28.6,10.4,25.92,23.7,F,50
OG Anunoby,$2281800,$3872215,$5634072,$0,$0,$0,0.578,14.7,11.7,22.63,10.7,F,60
Chris Boucher,$1588231,$0,$0,$0,$0,$0,0.516,19.5,7.1,27.15,6.5,F-C,53
Malcolm Miller,$1588231,$0,$0,$0,$0,$0,0.458,10.1,10.1,27,0.9,G-F,25
Justin Hamilton,$1000000,$0,$0,$0,$0,$0,,,,,,,
Terence Davis,$898310,$1517981,$0,$0,$0,$0,0.584,18.6,13.2,22.8,8,G,61
Dewan Hernandez,$898310,$1517981,$1782621,$0,$0,$0,0.2,25.8,14.5,23.23,1,C-F,4
Matt Thomas,$898310,$1517981,$1782621,$0,$0,$0,0.667,16.1,8.9,25.58,4.6,G,30
Cameron Payne,$150000,$0,$0,$0,$0,$0,,,,,,,
Oshae Brissett,$129568,$0,$0,$0,$0,$0,0.403,15,14.8,21.71,1.9,F-G,19
Shamorie Ponds,$79568,$0,$0,$0,$0,$0,0.7,23.7,0,19.65,2.3,G,4
Paul Watson,$79568,$0,$0,$0,$0,$0,0,9.6,0,25.18,0.3,G,3
Isaiah Taylor,$50000,$0,$0,$0,$0,$0,,,,,,,
Totals,$123743063,$85078279,$46500570,$33640000,$35960000,$38280000,,,,,,,
