Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Mike Conley,$34502130,$0,$0,$0,$0,$0,0.558,24.3,14.1,33.22,19.3,G,3
Rudy Gobert,$25775281,$34844000,$37631520,$40419040,$43206560,$45994080,0.75,17.5,17.4,28.51,16.7,C,3
Bojan Bogdanovic,$17850000,$18700000,$19550000,$0,$0,$0,0.447,21.3,7.5,31.7,15.7,F,3
Jordan Clarkson,$11500000,$12420000,$13340000,$14260000,$0,$0,0.577,27.4,8.4,28.56,18,G,3
Joe Ingles,$10363637,$12436364,$0,$0,$0,$0,0.568,17,23.1,33.24,9.3,F-G,3
Derrick Favors,$9258000,$9720900,$10183800,$0,$0,$0,0.75,15.1,17.9,29.46,7,F,3
Royce O'Neale,$8500000,$8800000,$9200000,$9500000,$0,$0,0.542,7.2,23.7,27.57,4.7,F,3
Donovan Mitchell,$5195501,$28100000,$30348000,$32596000,$34844000,$37092000,0.387,30.9,10.3,24.31,20.3,G,3
Udoka Azubuike,$1977000,$2075880,$2174880,$3923483,$5818526,$0,1,11.4,0,21.29,2,C-F,1
Georges Niang,$1783557,$0,$0,$0,$0,$0,0,7.8,0,27.54,0,F,3
Shaquille Harrison,$1524305,$0,$0,$0,$0,$0,,0,,27.23,0,G,1
Juwan Morgan,$1517981,$0,$0,$0,$0,$0,0,9.7,0,23.7,0,F,2
Miye Oni,$1517981,$1782621,$0,$0,$0,$0,0.75,14.9,0,23.41,1.5,G-F,2
Elijah Hughes,$898310,$1517981,$0,$0,$0,$0,0,35.3,0,20,3,G,1
Jarrell Brantley,$79568,$0,$0,$0,$0,$0,,,,,,,
Trent Forrest,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$132322819,$128615125,$120253320,$96775040,$78050560,$83086080,,,,,,,
