Player,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,eFG%,URate,TO%,Age,PTS,Pos,GP
Russell Westbrook,$41358814,$44211146,$47063478,$0,$0,$0,0.422,29.7,21.3,32.13,19,G,3
Bradley Beal,$28751774,$34502129,$37262299,$0,$0,$0,0.495,35.3,12.5,27.51,32,G,4
Davis Bertans,$15000000,$16000000,$16000000,$17000000,$16000000,$0,0.531,19.4,2.5,28.13,12,F,4
Thomas Bryant,$8333333,$8666667,$0,$0,$0,$0,0.583,19.4,12.1,23.42,14.5,C-F,4
Robin Lopez,$7300000,$0,$0,$0,$0,$0,0.633,14.3,22.5,32.75,5.3,C,4
Ishmael Smith,$6000000,$0,$0,$0,$0,$0,,,,,,,
Rui Hachimura,$4692840,$4916160,$6263188,$8486619,$0,$0,,,,,,,
Deni Avdija,$4469160,$4692840,$4916160,$6263188,$8486619,$0,0.69,9.9,11.8,19.99,7.5,F,4
Jerome Robinson,$3737520,$0,$0,$0,$0,$0,0.25,10.7,42.9,23.85,1,G,2
Troy Brown,$3372840,$5170564,$7228448,$0,$0,$0,,,,,,,
Moritz Wagner,$2161920,$0,$0,$0,$0,$0,1,13.9,0,23.68,4,F-C,1
Raul Neto,$1882867,$0,$0,$0,$0,$0,0.603,20.7,9,28.61,9.3,G,4
Isaac Bonga,$1663861,$0,$0,$0,$0,$0,0.875,8.9,19.4,21.14,5.3,G,4
Anzejs Pasecniks,$1517981,$1782621,$0,$0,$0,$0,,,,,,,
Anthony Gill,$898310,$1517981,$0,$0,$0,$0,1.5,12.1,0,20,3,F,1
Garrison Mathews,$79568,$0,$0,$0,$0,$0,,0,,24.18,0,G,1
Cassius Winston,$79568,$0,$0,$0,$0,$0,,,,,,,
Totals,$131300356,$121460108,$100325777,$17000000,$16000000,$0,,,,,,,
